support,confidence,antecedent,consequent
0.013,0.273,[Lagunitas Brewing Company=IPA],[Stone Brewing Co.=Stone IPA]
0.012,0.314,[Russian River Brewing Company=Pliny the Elder],[Ballast Point Brewing & Spirits=Victory at Sea]
0.015,0.359,[Ballast Point Brewing & Spirits=Sculpin IPA],[Lagunitas Brewing Company=IPA]
0.012,0.440,[Stella Artois=Stella Artois],[Firestone Walker Brewing Company=805 Blonde]
0.013,0.414,[Firestone Walker Brewing Company=Union Jack IPA],[Stone Brewing Co.=Stone IPA]
0.013,0.273,[Lagunitas Brewing Company=IPA],[Firestone Walker Brewing Company=805 Blonde]
0.013,0.364,[Stone Brewing Co.=Stone IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.011,0.222,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],[Firestone Walker Brewing Company=Pale 31]
0.013,0.429,[Sapporo Breweries=Sapporo Premium Beer],[Grupo Modelo S.A. de C.V.=Modelo Especial]
0.011,0.256,[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=805 Blonde]
0.011,0.238,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Lagunitas Brewing Company=IPA]
0.011,0.333,[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest],[Firestone Walker Brewing Company=805 Blonde]
0.012,0.407,[Ballast Point Brewing & Spirits=Victory at Sea],[Russian River Brewing Company=Pliny the Elder]
0.012,0.324,[Sierra Nevada Brewing Co.=Pale Ale],[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale]
0.014,0.295,[Firestone Walker Brewing Company=Easy Jack],[Firestone Walker Brewing Company=Union Jack IPA]
0.014,0.220,[Firestone Walker Brewing Company=805 Blonde],[Firestone Walker Brewing Company=Easy Jack]
0.011,0.256,[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.011,0.357,[Firestone Walker Brewing Company=Wookey Jack],[Firestone Walker Brewing Company=Velvet Merlin]
0.011,0.169,[Firestone Walker Brewing Company=805 Blonde],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.011,0.476,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.014,0.295,[Firestone Walker Brewing Company=Easy Jack],[Firestone Walker Brewing Company=805 Blonde]
0.012,0.244,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],[Sierra Nevada Brewing Co.=Pale Ale]
0.012,0.393,[Firestone Walker Brewing Company=Velvet Merlin],[Lagunitas Brewing Company=IPA]
0.012,0.250,[Firestone Walker Brewing Company=Easy Jack],[Lagunitas Brewing Company=IPA]
0.011,0.435,[Anchor Brewing Company=Anchor Steam Beer],[Firestone Walker Brewing Company=805 Blonde]
0.011,0.222,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.011,0.256,[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.014,0.310,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.011,0.238,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Firestone Walker Brewing Company=Agrestic]
0.012,0.344,[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale],[Sierra Nevada Brewing Co.=Pale Ale]
0.012,0.186,[Firestone Walker Brewing Company=805 Blonde],[Sapporo Breweries=Sapporo Premium Beer]
0.014,0.220,[Firestone Walker Brewing Company=805 Blonde],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.012,0.393,[Sapporo Breweries=Sapporo Premium Beer],[Firestone Walker Brewing Company=805 Blonde]
0.014,0.289,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],[Firestone Walker Brewing Company=805 Blonde]
0.011,0.227,[Lagunitas Brewing Company=IPA],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.011,0.345,[Firestone Walker Brewing Company=Union Jack IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.011,0.357,[Firestone Walker Brewing Company=Velvet Merlin],[Firestone Walker Brewing Company=Wookey Jack]
0.012,0.355,[Coors Brewing Company=Coors Light],[Anheuser-Busch=Bud Light]
0.011,0.222,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],[Lagunitas Brewing Company=IPA]
0.012,0.250,[Lagunitas Brewing Company=IPA],[Firestone Walker Brewing Company=Easy Jack]
0.013,0.500,[Grupo Modelo S.A. de C.V.=Modelo Especial],[Sapporo Breweries=Sapporo Premium Beer]
0.011,0.169,[Firestone Walker Brewing Company=805 Blonde],[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest]
0.011,0.526,[Firestone Walker Brewing Company=Agrestic],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.014,0.295,[Lagunitas Brewing Company=IPA],[Bear Republic Brewing Co.=Racer 5 IPA®]
0.014,0.448,[Bear Republic Brewing Co.=Racer 5 IPA®],[Lagunitas Brewing Company=IPA]
0.012,0.324,[Sierra Nevada Brewing Co.=Pale Ale],[Lagunitas Brewing Company=IPA]
0.012,0.186,[Firestone Walker Brewing Company=805 Blonde],[Stella Artois=Stella Artois]
0.012,0.250,[Lagunitas Brewing Company=IPA],[Firestone Walker Brewing Company=Velvet Merlin]
0.012,0.478,[Firestone Walker Brewing Company=Double Jack],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.012,0.333,[Stone Brewing Co.=Stone IPA],[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA]
0.011,0.227,[Lagunitas Brewing Company=IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.012,0.324,[Sierra Nevada Brewing Co.=Pale Ale],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.012,0.333,[Stone Brewing Co.=Stone IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.014,0.333,[Ballast Point Brewing & Spirits=Sculpin IPA],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.011,0.169,[Firestone Walker Brewing Company=805 Blonde],[Anchor Brewing Company=Anchor Steam Beer]
0.011,0.370,[Firestone Walker Brewing Company=Pale 31],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.012,0.458,[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA],[Stone Brewing Co.=Stone IPA]
0.015,0.318,[Lagunitas Brewing Company=IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.013,0.364,[Stone Brewing Co.=Stone IPA],[Lagunitas Brewing Company=IPA]
0.012,0.250,[Lagunitas Brewing Company=IPA],[Sierra Nevada Brewing Co.=Pale Ale]
0.013,0.203,[Firestone Walker Brewing Company=805 Blonde],[Lagunitas Brewing Company=IPA]
0.014,0.448,[Firestone Walker Brewing Company=Union Jack IPA],[Firestone Walker Brewing Company=Easy Jack]
0.012,0.262,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Firestone Walker Brewing Company=Double Jack]
0.012,0.379,[Anheuser-Busch=Bud Light],[Coors Brewing Company=Coors Light]
0.012,0.282,[Ballast Point Brewing & Spirits=Sculpin IPA],[Stone Brewing Co.=Stone IPA]
0.011,0.238,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Heretic Brewing Company=Chocolate Hazelnut Porter]
